X,Y,Z
39.67,-45.72,"55.66
"
30.76,-42.66,"55.60
"
9.52,-32.71,"45.10
"
-2.2,-25.57,"29.42
"
-12.76,-22.22,"17.09
"
-16.42,-16.36,"11.47
"
-16.85,-7.08,"13.24
"
-12.94,4.33,"20.14
"
-7.57,14.1,"26.18
"
-9.03,17.58,"28.20
"
-3.42,15.93,"28.99
"
0.55,12.21,"25.88
"
-4.52,11.23,"18.13
"
-11.9,18.25,"11.29
"
-15.93,28.38,"9.77
"
-9.7,34.85,"15.56
"
0.73,33.57,"27.89
"
15.69,22.77,"42.60
"
34.48,5.07,"52.80
"
45.17,-14.65,"51.27
"
46.02,-27.83,"36.80
"
30.94,-31.92,"13.92
"
11.72,-25.09,"-14.10
"
-3.48,-10.13,"-36.44
"
-16.54,5,"-46.45
"
-18.07,13.12,"-45.84
"
-8,13.73,"-35.40
"
7.08,6.23,"-18.62
"
23.68,-11.47,"-4.33
"
33.45,-34.3,"0.43
"
27.89,-46.2,"-5.80
"
8.97,-39.43,"-21.12
"
-8.12,-17.15,"-34.55
"
-16.85,6.77,"-38.02
"
-19.29,23.86,"-31.98
"
-15.69,31.25,"-18.98
"
-2.56,28.99,"-1.53
"
10.93,17.52,"16.72
"
23.8,2.26,"26.92
"
22.46,-7.87,"21.12
"
3.36,-9.46,"-3.30
"
-23.8,-5.07,"-41.20
"
-43.21,-2.32,"-75.32
"
-53.04,-3.11,"-92.65
"
-57.01,-6.1,"-88.75
"
-46.57,-12.39,"-65.37
"
-16.11,-21.85,"-29.91
"
12.15,-24.17,"8.06
"
22.22,-17.21,"32.53
"
26.92,-5.68,"37.72
"
11.96,7.45,"22.03
"
-14.71,22.03,"-12.15
"
-36.99,30.94,"-48.71
"
-47.67,26.92,"-72.20
"
-44.13,10.93,"-74.46
"
-28.32,-10.93,"-56.34
"
-5.07,-31.07,"-25.94
"
14.83,-39,"3.48
"
22.83,-28.99,"18.25
"
9.64,-4.58,"13.73
"
-14.83,23.44,"-8.54
"
-38.51,41.08,"-39.18
"
-49.5,39.43,"-63.84
"
-45.9,20.39,"-73.12
"
-33.63,-4.82,"-65.55
"
-15.01,-25.33,"-44.80
"
1.95,-32.47,"-20.63
"
12.21,-27.53,"-4.39
"
13.61,-13.79,"-1.71
"
0.61,3.78,"-11.35
"
-16.97,17.82,"-29.17
"
-33.87,27.53,"-47.55
"
-44.8,34,"-57.92
"
-47.12,35.4,"-56.58
"
-42.18,30.09,"-44.43
"
