X,Y,Z
9.7,14.89,"68.36
"
6.96,14.95,"64.33
"
5.13,12.21,"61.77
"
6.47,7.75,"62.38
"
10.01,4.03,"66.47
"
14.83,1.28,"71.35
"
16.97,0.67,"75.07
"
17.33,1.16,"75.68
"
15.75,1.04,"73.43
"
13.67,-0.12,"69.76
"
11.78,-1.59,"67.50
"
12.15,-3.23,"67.08
"
8.79,-5.62,"68.73
"
13.49,-5.86,"73.36
"
18.37,-6.41,"77.94
"
23.01,-7.26,"79.53
"
26.55,-9.89,"76.23
"
25.76,-14.22,"68.18
"
20.39,-16.3,"59.45
"
15.99,-18.49,"55.73
"
15.69,-21.61,"59.63
"
18.92,-24.17,"69.70
"
22.03,-26.92,"80.44
"
25.33,-30.33,"88.44
"
29.6,-31.43,"90.70
"
27.95,-29.91,"85.94
"
23.01,-27.77,"76.29
"
17.09,-26.49,"67.14
"
10.99,-30.09,"61.77
"
9.89,-40.1,"64.21
"
17.4,-49.01,"74.46
"
23.01,-52.25,"86.30
"
24.66,-50.29,"93.51
"
25.76,-48.71,"92.10
"
24.35,-47.18,"83.86
"
23.86,-45.9,"72.08
"
23.74,-46.81,"61.22
"
25.02,-49.44,"54.93
"
22.95,-54.5,"54.38
"
16.05,-66.16,"59.81
"
16.97,-78.8,"75.01
"
28.56,-84.17,"93.81
"
38.82,-80.26,"104.19
"
39.49,-72.33,"99.79
"
34.42,-64.09,"83.98
"
27.22,-57.98,"64.58
"
29.72,-56.46,"46.94
"
31.01,-58.11,"33.87
"
28.32,-61.71,"26.37
"
22.58,-71.41,"26.31
"
25.57,-86.3,"35.64
"
38.02,-94.54,"49.87
"
45.41,-91.8,"57.19
"
43.95,-84.47,"50.78
"
41.56,-78.37,"33.20
"
36.87,-75.01,"12.15
"
31.68,-74.34,"-5.43
"
25.63,-77.82,"-15.38
"
22.89,-85.94,"-13.55
"
28.87,-90.39,"0.55
"
41.08,-85.63,"17.03
"
47.55,-75.5,"23.44
"
45.35,-67.14,"13.18
"
37.29,-62.5,"-5.86
"
29.6,-59.45,"-20.39
"
28.32,-57.62,"-23.44
"
32.71,-56.27,"-18.98
"
35.95,-56.76,"-13.12
"
39.86,-62.07,"-10.19
"
43.4,-69.64,"-10.80
"
46.88,-73.55,"-13.49
"
49.13,-71.53,"-17.40
"
49.13,-69.03,"-24.41
"
47.24,-69.03,"-33.39
"
47.73,-69.95,"-40.83
"
50.23,-71.04,"-46.57
"
50.72,-72.33,"-52.43
"
48.89,-72.94,"-56.58
"
46.02,-72.45,"-56.46
"
43.95,-72.08,"-51.09
"
46.57,-72.14,"-42.72
"
50.42,-72.39,"-37.11
"
47.06,-73,"-40.04
"
36.32,-72.88,"-50.96
"
27.65,-70.62,"-64.39
"
26.98,-67.38,"-74.65
"
31.68,-66.35,"-79.04
"
39.98,-69.76,"-77.94
"
49.68,-75.26,"-72.75
"
57.43,-79.65,"-65.49
"
61.34,-80.63,"-57.92
"
61.4,-75.93,"-52.43
"
54.5,-66.83,"-51.94
"
44.62,-59.45,"-58.23
"
34.06,-55.79,"-70.50
"
23.19,-51.15,"-81.24
"
17.46,-44.43,"-84.96
"
19.47,-40.71,"-82.76
"
25.57,-42.66,"-78.74
"
32.53,-47.61,"-74.28
"
40.1,-51.03,"-68.48
"
48.22,-51.88,"-62.81
"
52.98,-50.23,"-59.94
"
52,-46.88,"-59.63
"
50.48,-43.58,"-60.06
"
48.22,-39.61,"-60.85
"
42.79,-35.58,"-62.19
"
40.04,-31.74,"-64.03
"
35.83,-27.28,"-66.53
"
30.7,-22.64,"-66.89
"
30.21,-19.23,"-63.48
"
33.63,-17.09,"-58.41
"
36.07,-15.93,"-54.87
"
37.6,-15.87,"-54.44
"
39.12,-15.87,"-55.36
"
43.33,-14.65,"-56.76
"
45.04,-12.51,"-58.96
"
44.92,-10.5,"-60.91
"
45.65,-7.45,"-62.13
"
42.3,-2.81,"-62.74
"
36.19,2.93,"-63.48
"
29.48,7.39,"-63.54
"
24.84,11.72,"-62.81
"
24.05,16.91,"-63.05
"
23.93,21.3,"-65.19
"
24.9,24.78,"-66.83
"
28.5,26.25,"-67.32
"
30.94,26.18,"-67.63
"
30.94,26.86,"-67.87
"
30.33,29.48,"-67.93
"
31.62,33.14,"-67.32
"
31.56,39.06,"-65.12
"
33.02,43.76,"-64.33
"
32.23,47.55,"-65.86
"
25.88,50.48,"-67.57
"
23.32,50.9,"-66.71
"
24.29,50.84,"-61.58
"
25.27,51.39,"-56.46
"
24.54,53.1,"-53.71
"
22.64,56.03,"-51.15
"
18.37,62.13,"-50.60
"
16.6,64.51,"-50.72
"
11.29,66.41,"-48.03
"
6.9,67.87,"-45.78
"
6.41,66.65,"-41.44
"
5.74,66.59,"-33.57
"
4.88,71.29,"-28.81
"
-0.55,76.48,"-27.47
"
-2.44,78.92,"-29.60
"
-4.52,80.93,"-29.91
"
-7.81,84.41,"-30.40
"
-5.13,84.11,"-27.53
"
-1.77,82.4,"-23.38
"
-0.98,83.31,"-19.59
"
-1.1,83.44,"-14.59
"
-1.83,84.96,"-11.47
"
-4.58,88.93,"-10.07
"
-7.14,93.32,"-8.30
"
-7.63,94.79,"-5.07
"
-8.36,96.01,"0.61
"
-4.7,95.52,"7.26
"
-3.97,94.54,"15.56
"
-2.38,95.64,"19.04
"
-3.54,97.6,"18.31
"
-7.63,101.44,"14.89
"
-9.22,104.8,"11.60
"
-10.74,105.29,"11.11
"
-13,103.7,"11.35
"
-10.07,100.77,"14.95
"
-4.33,98.69,"22.09
"
-0.12,97.47,"29.24
"
